InvoiceNo  ,UnitPrice,OrderValue,Quantit,Country,InvoiceDate,Major Category,Minor Category,day,month,year,Hour,OrderTimeOfDay
549185,0.85,10.2,12,United Kingdom   ,2011-07-04,    Clothes  ,          Tops,4,7,2011,9,Morning
576381,2.95,35.4,12,United Kingdom   ,2011-11-15,    Clothes  ,         Shoes,15,11,2011,9,Morning
551192,1.25,20.0,16,United Kingdom   ,2011-04-27,    Kitchen  ,       Cutlery,27,4,2011,10,Morning
573553,7.46,7.46,1,United Kingdom   ,2011-10-31,     Garden  ,          Turf,31,10,2011,13,Afternoon
539436,2.51,2.51,1,United Kingdom   ,2010-12-17,     Garden  ,         Hoses,17,12,2010,14,Afternoon
580893,3.95,3.95,1,United Kingdom   ,2011-06-12,     Garden  ,         Hoses,12,6,2011,12,Afternoon
568321,2.1,12.6,6,United Kingdom   ,2011-09-26,    Clothes  ,          Hats,26,9,2011,13,Afternoon
552949,4.95,29.7,6,United Kingdom   ,2011-12-05,    Clothes  ,          Tops,5,12,2011,12,Afternoon
567461,2.46,44.28,18,United Kingdom   ,2011-09-20,  Household  ,      Curtains,20,9,2011,12,Afternoon
542121,1.69,3.38,2,United Kingdom   ,2011-01-25,  Household  ,         Lamps,25,1,2011,14,Afternoon
566913,0.39,1.56,4,United Kingdom   ,2011-09-15,    Kitchen  ,Cooking Knives,15,9,2011,14,Afternoon
550477,0.55,0.55,1,United Kingdom   ,2011-04-18,  Household  ,         Lamps,18,4,2011,14,Afternoon
538663,12.75,25.5,2,United Kingdom   ,2010-12-13,  Household  ,          Rugs,13,12,2010,15,Afternoon
570715,1.25,30.0,24,United Kingdom   ,2011-12-10,  Household  ,        Chairs,10,12,2011,10,Morning
549299,1.65,16.5,10,United Kingdom   ,2011-08-04,    Clothes  ,         Shoes,4,8,2011,8,Morning
559902,1.65,1.65,1,United Kingdom   ,2011-07-13,    Kitchen  ,      Coasters,13,7,2011,13,Afternoon
537369,4.25,4.25,1,United Kingdom   ,2010-06-12,    Clothes  ,          Tops,12,6,2010,12,Afternoon
564353,2.1,25.2,12,United Kingdom   ,2011-08-24,    Kitchen  ,        Scales,24,8,2011,15,Afternoon
562455,4.25,25.5,6,United Kingdom   ,2011-05-08,  Household  ,          Rugs,8,5,2011,10,Morning
539451,1.28,1.28,1,United Kingdom   ,2010-12-17,    Clothes  ,         Shoes,17,12,2010,16,Evening
537057,2.95,2.95,1,United Kingdom   ,2010-05-12,  Household  ,          Rugs,12,5,2010,11,Morning
549568,1.45,34.8,24,United Kingdom   ,2011-10-04,    Clothes  ,          Hats,4,10,2011,15,Afternoon
564758,3.29,3.29,1,United Kingdom   ,2011-08-30,    Clothes  ,         Shoes,30,8,2011,10,Morning
541424,2.46,2.46,1,United Kingdom   ,2011-01-17,  Household  ,        Chairs,17,1,2011,17,Evening
559000,4.95,9.9,2,United Kingdom   ,2011-05-07,  Household  ,      Curtains,7,5,2011,12,Afternoon
550438,1.25,15.0,12,United Kingdom   ,2011-04-18,    Kitchen  ,Cooking Knives,18,4,2011,12,Afternoon
549556,2.55,10.2,4,United Kingdom   ,2011-10-04,    Clothes  ,         Shoes,4,10,2011,12,Afternoon
550474,0.83,0.83,1,United Kingdom   ,2011-04-18,    Kitchen  ,       Cutlery,18,4,2011,13,Afternoon
559317,7.95,7.95,1,United Kingdom   ,2011-07-07,    Clothes  ,          Hats,7,7,2011,14,Afternoon
545906,2.1,12.6,6,United Kingdom   ,2011-08-03,    Kitchen  ,        Plates,3,8,2011,9,Morning
575944,0.21,6.3,30,United Kingdom   ,2011-11-13,  Household  ,        Chairs,13,11,2011,11,Morning
545797,2.95,2.95,1,United Kingdom   ,2011-07-03,    Kitchen  ,        Plates,3,7,2011,12,Afternoon
540349,1.65,19.8,12,United Kingdom   ,2011-06-01,    Clothes  ,          Hats,1,6,2011,14,Afternoon
551174,3.29,3.29,1,United Kingdom   ,2011-04-26,     Garden  ,         Seeds,26,4,2011,17,Evening
541592,1.63,9.78,6,United Kingdom   ,2011-01-19,  Household  ,      Curtains,19,1,2011,15,Afternoon
536769,1.25,25.0,20,United Kingdom   ,2010-02-12,    Clothes  ,          Hats,12,2,2010,14,Afternoon
581166,2.95,2.95,1,United Kingdom   ,2011-07-12,    Kitchen  ,       Cutlery,12,7,2011,14,Afternoon
548978,7.95,15.9,2,United Kingdom   ,2011-05-04,     Garden  ,          Turf,4,5,2011,12,Afternoon
558315,1.65,19.8,12,United Kingdom   ,2011-06-28,     Garden  ,         Hoses,28,6,2011,11,Morning
546009,4.25,4.25,1,United Kingdom   ,2011-08-03,    Kitchen  ,      Coasters,3,8,2011,15,Afternoon
542835,0.29,6.96,24,United Kingdom   ,2011-01-02,     Garden  ,         Hoses,2,1,2011,11,Morning
558315,7.95,15.9,2,United Kingdom   ,2011-06-28,    Clothes  ,          Tops,28,6,2011,11,Morning
541695,8.29,8.29,1,United Kingdom   ,2011-01-20,     Garden  ,          Turf,20,1,2011,18,Evening
